CMDLINE /Users/pawanadhikari/Documents/Roadmap/MachineLearningMaths/.venv/bin/python3.14 ./deployment/main.py
MEM 1467.765625 1768286243.8629
MEM 1388.781250 1768286243.9646
MEM 1369.031250 1768286244.0697
MEM 1397.375000 1768286244.1748
MEM 1413.609375 1768286244.2799
MEM 1384.812500 1768286244.3850
MEM 1397.515625 1768286244.4905
MEM 1396.187500 1768286244.5956
MEM 1390.500000 1768286244.7008
MEM 1397.125000 1768286244.8059
MEM 1391.250000 1768286244.9110
MEM 1385.718750 1768286245.0161
MEM 1381.250000 1768286245.1204
MEM 1370.062500 1768286245.2255
MEM 1374.453125 1768286245.3298
MEM 1391.484375 1768286245.4350
MEM 1358.703125 1768286245.5403
MEM 1340.171875 1768286245.6454
MEM 1343.171875 1768286245.7506
MEM 1349.265625 1768286245.8557
MEM 1327.109375 1768286245.9570
MEM 1327.062500 1768286246.0621
MEM 1357.843750 1768286246.1672
MEM 1384.234375 1768286246.2723
MEM 1424.375000 1768286246.3774
MEM 1440.718750 1768286246.4828
MEM 1448.046875 1768286246.5880
MEM 1459.515625 1768286246.6931
MEM 1472.468750 1768286246.7933
MEM 1463.015625 1768286246.8962
MEM 1454.375000 1768286246.9971
MEM 1471.406250 1768286247.1015
MEM 1466.140625 1768286247.2067
MEM 1433.234375 1768286247.3118
MEM 1460.890625 1768286247.4169
MEM 1450.421875 1768286247.5221
MEM 1448.562500 1768286247.6273
MEM 1467.718750 1768286247.7279
MEM 1453.203125 1768286247.8331
MEM 1480.906250 1768286247.9384
MEM 1492.671875 1768286248.0401
MEM 1482.546875 1768286248.1408
MEM 1438.218750 1768286248.2431
MEM 1442.578125 1768286248.3479
MEM 1422.906250 1768286248.4493
MEM 1422.828125 1768286248.5510
MEM 1432.515625 1768286248.6561
MEM 1432.796875 1768286248.7613
MEM 1412.281250 1768286248.8664
MEM 1428.796875 1768286248.9716
MEM 1443.406250 1768286249.0770
MEM 1443.953125 1768286249.1821
MEM 1431.593750 1768286249.2873
MEM 1457.187500 1768286249.3924
MEM 1422.640625 1768286249.4975
MEM 1403.906250 1768286249.6026
MEM 1387.250000 1768286249.7078
MEM 1405.046875 1768286249.8129
MEM 1409.375000 1768286249.9180
MEM 1437.640625 1768286250.0232
MEM 1443.187500 1768286250.1235
MEM 1417.687500 1768286250.2286
MEM 1444.937500 1768286250.3340
MEM 1451.859375 1768286250.4392
MEM 1473.093750 1768286250.5443
MEM 1487.484375 1768286250.6495
MEM 1500.562500 1768286250.7546
MEM 1501.859375 1768286250.8597
MEM 1496.281250 1768286250.9650
MEM 1514.421875 1768286251.0702
MEM 1494.609375 1768286251.1737
MEM 1514.843750 1768286251.2788
MEM 1531.593750 1768286251.3804
MEM 1535.703125 1768286251.4856
MEM 1542.703125 1768286251.5900
MEM 1536.906250 1768286251.6952
MEM 1525.718750 1768286251.7988
MEM 1512.437500 1768286251.9040
MEM 1504.453125 1768286252.0065
MEM 1413.390625 1768286252.1192
MEM 1395.375000 1768286252.2243
MEM 1389.656250 1768286252.3255
MEM 1375.343750 1768286252.4306
MEM 1366.234375 1768286252.5338
MEM 1346.531250 1768286252.6389
MEM 1344.515625 1768286252.7402
MEM 1343.421875 1768286252.8443
MEM 1322.312500 1768286252.9478
MEM 1341.593750 1768286253.0530
MEM 1350.046875 1768286253.1568
MEM 1355.625000 1768286253.2619
MEM 1347.687500 1768286253.3671
MEM 1369.531250 1768286253.4674
MEM 1319.218750 1768286253.5683
MEM 1323.640625 1768286253.6713
MEM 1299.234375 1768286253.7767
MEM 1282.234375 1768286253.8819
MEM 1262.562500 1768286253.9871
MEM 1269.203125 1768286254.0909
MEM 1311.890625 1768286254.1960
MEM 1322.406250 1768286254.3011
MEM 1354.109375 1768286254.4063
MEM 1376.421875 1768286254.5114
MEM 1388.484375 1768286254.6166
MEM 1424.875000 1768286254.7203
MEM 1408.578125 1768286254.8254
MEM 1421.234375 1768286254.9304
MEM 1438.953125 1768286255.0356
MEM 1434.859375 1768286255.1403
MEM 1442.812500 1768286255.2465
MEM 1440.765625 1768286255.3516
MEM 1489.953125 1768286255.4567
MEM 1508.015625 1768286255.5579
MEM 1491.343750 1768286255.6632
MEM 1475.812500 1768286255.7651
MEM 1454.656250 1768286255.8703
MEM 1456.875000 1768286255.9754
MEM 1454.328125 1768286256.0807
MEM 1458.687500 1768286256.1858
MEM 1476.906250 1768286256.2910
MEM 1497.921875 1768286256.3961
MEM 1508.718750 1768286256.5012
MEM 1524.718750 1768286256.6016
MEM 1502.421875 1768286256.7067
MEM 1511.531250 1768286256.8084
MEM 1493.468750 1768286256.9135
MEM 1498.343750 1768286257.0187
MEM 1500.937500 1768286257.1253
MEM 1496.062500 1768286257.2304
MEM 1503.937500 1768286257.3356
MEM 1513.906250 1768286257.4407
MEM 1487.281250 1768286257.5459
MEM 1460.859375 1768286257.6510
MEM 1430.953125 1768286257.7518
MEM 1399.437500 1768286257.8571
MEM 1346.312500 1768286257.9593
MEM 1368.156250 1768286258.0640
MEM 1360.453125 1768286258.1692
MEM 1366.484375 1768286258.2744
MEM 1344.171875 1768286258.3749
MEM 1318.578125 1768286258.4783
MEM 1295.640625 1768286258.5835
MEM 1215.328125 1768286258.6839
MEM 1133.171875 1768286258.7863
MEM 1003.000000 1768286258.8900
MEM 923.031250 1768286258.9951
MEM 870.453125 1768286259.0979
MEM 856.625000 1768286259.2031
MEM 883.046875 1768286259.3082
MEM 947.531250 1768286259.4134
MEM 1029.937500 1768286259.5144
MEM 1040.406250 1768286259.6196
MEM 1117.546875 1768286259.7205
MEM 1101.812500 1768286259.8246
MEM 1079.453125 1768286259.9249
MEM 1097.015625 1768286260.0300
MEM 1122.031250 1768286260.1352
MEM 1142.015625 1768286260.2405
MEM 1167.343750 1768286260.3455
MEM 1170.656250 1768286260.4506
MEM 1188.234375 1768286260.5559
MEM 1206.593750 1768286260.6563
MEM 1213.453125 1768286260.7567
MEM 1230.265625 1768286260.8619
MEM 1257.921875 1768286260.9671
MEM 1267.484375 1768286261.0722
MEM 1237.468750 1768286261.1774
MEM 1255.906250 1768286261.2790
MEM 1305.984375 1768286261.3794
MEM 1274.906250 1768286261.4845
MEM 1312.875000 1768286261.5897
MEM 1325.921875 1768286261.6901
MEM 1347.187500 1768286261.7934
MEM 1320.484375 1768286261.8940
MEM 1332.453125 1768286261.9992
MEM 1339.453125 1768286262.1033
MEM 1356.265625 1768286262.2084
MEM 1372.187500 1768286262.3106
MEM 1347.218750 1768286262.4197
MEM 1366.984375 1768286262.5199
MEM 1355.203125 1768286262.6250
MEM 1352.625000 1768286262.7302
MEM 1368.078125 1768286262.8353
MEM 1353.046875 1768286262.9401
MEM 1369.140625 1768286263.0411
MEM 1376.296875 1768286263.1418
MEM 1350.250000 1768286263.2470
MEM 1335.796875 1768286263.3524
MEM 1360.062500 1768286263.4576
MEM 1386.406250 1768286263.5627
MEM 1405.437500 1768286263.6679
MEM 1433.593750 1768286263.7732
MEM 1417.937500 1768286263.8734
MEM 1402.906250 1768286263.9785
MEM 1418.656250 1768286264.0836
MEM 1402.734375 1768286264.1888
MEM 1392.640625 1768286264.2894
MEM 1407.734375 1768286264.3900
MEM 1380.218750 1768286264.4951
MEM 1379.343750 1768286264.5954
MEM 1386.625000 1768286264.7005
MEM 1429.781250 1768286264.8056
MEM 1418.953125 1768286264.9067
MEM 1421.390625 1768286265.0119
MEM 1393.359375 1768286265.1170
MEM 1380.875000 1768286265.2198
MEM 1396.828125 1768286265.3242
MEM 1369.718750 1768286265.4293
MEM 1387.343750 1768286265.5337
MEM 1374.359375 1768286265.6388
MEM 1370.234375 1768286265.7440
MEM 1383.937500 1768286265.8471
MEM 1392.468750 1768286265.9523
MEM 1370.656250 1768286266.0571
MEM 1375.312500 1768286266.1622
MEM 1357.250000 1768286266.2673
MEM 1391.171875 1768286266.3726
MEM 1392.640625 1768286266.4730
MEM 1394.250000 1768286266.5783
MEM 1403.843750 1768286266.6838
MEM 1357.859375 1768286266.7890
MEM 1385.484375 1768286266.8900
MEM 1348.203125 1768286266.9923
MEM 1378.062500 1768286267.0974
MEM 1379.546875 1768286267.2025
MEM 1364.187500 1768286267.3076
MEM 1382.640625 1768286267.4128
MEM 1372.906250 1768286267.5159
MEM 1382.000000 1768286267.6211
MEM 1359.890625 1768286267.7250
MEM 1386.546875 1768286267.8270
MEM 1374.531250 1768286267.9322
MEM 1318.140625 1768286268.0360
MEM 1317.578125 1768286268.1411
MEM 1322.593750 1768286268.2464
MEM 1397.296875 1768286268.3470
MEM 1407.390625 1768286268.4522
MEM 1416.250000 1768286268.5560
MEM 1397.859375 1768286268.6568
MEM 1410.437500 1768286268.7620
MEM 1411.000000 1768286268.8635
MEM 1398.171875 1768286268.9670
MEM 1414.187500 1768286269.0706
MEM 1430.031250 1768286269.1757
MEM 1406.718750 1768286269.2772
MEM 1444.171875 1768286269.3785
MEM 1423.437500 1768286269.4836
MEM 1421.062500 1768286269.5888
MEM 1416.593750 1768286269.6918
MEM 1424.296875 1768286269.7970
MEM 1416.000000 1768286269.8990
MEM 1404.250000 1768286270.0041
MEM 1415.421875 1768286270.1060
MEM 1422.890625 1768286270.2111
MEM 1412.656250 1768286270.3115
MEM 1434.734375 1768286270.4166
MEM 1431.265625 1768286270.5180
MEM 1387.218750 1768286270.6198
MEM 1398.546875 1768286270.7234
MEM 1390.453125 1768286270.8285
MEM 1436.218750 1768286270.9336
MEM 1413.984375 1768286271.0388
MEM 1442.859375 1768286271.1391
MEM 1453.296875 1768286271.2442
MEM 1449.281250 1768286271.3493
MEM 1451.171875 1768286271.4544
MEM 1397.656250 1768286271.5566
MEM 1296.015625 1768286271.6590
MEM 1173.265625 1768286271.7602
MEM 1168.062500 1768286271.8654
MEM 1237.765625 1768286271.9706
MEM 1322.984375 1768286272.0733
MEM 1396.078125 1768286272.1747
MEM 1395.734375 1768286272.2799
MEM 1414.187500 1768286272.3850
MEM 1393.859375 1768286272.4853
MEM 1362.390625 1768286272.5901
MEM 1365.812500 1768286272.6941
MEM 1373.296875 1768286272.7944
MEM 1366.859375 1768286272.8996
MEM 1394.625000 1768286273.0049
MEM 1401.562500 1768286273.1070
MEM 1394.984375 1768286273.2121
MEM 1400.203125 1768286273.3173
MEM 1382.687500 1768286273.4224
MEM 1389.359375 1768286273.5234
MEM 1414.937500 1768286273.6285
MEM 1410.078125 1768286273.7336
MEM 1407.515625 1768286273.8344
MEM 1428.625000 1768286273.9390
MEM 1421.500000 1768286274.0434
MEM 1403.640625 1768286274.1483
MEM 1404.578125 1768286274.2535
MEM 1405.062500 1768286274.3568
MEM 1420.796875 1768286274.4620
MEM 1442.312500 1768286274.5670
MEM 1450.390625 1768286274.6722
MEM 1460.234375 1768286274.7773
MEM 1447.515625 1768286274.8825
MEM 1461.437500 1768286274.9877
MEM 1478.406250 1768286275.0927
MEM 1465.859375 1768286275.1979
MEM 1466.656250 1768286275.2995
MEM 1458.687500 1768286275.4027
MEM 1457.390625 1768286275.5070
MEM 1491.140625 1768286275.6121
MEM 1471.125000 1768286275.7172
MEM 1474.296875 1768286275.8224
MEM 1460.562500 1768286275.9276
MEM 1452.265625 1768286276.0319
MEM 1448.953125 1768286276.1328
MEM 1431.359375 1768286276.2350
MEM 1447.328125 1768286276.3401
MEM 1449.109375 1768286276.4453
MEM 1441.843750 1768286276.5462
MEM 1443.718750 1768286276.6471
MEM 1427.828125 1768286276.7504
MEM 1435.437500 1768286276.8530
MEM 1411.343750 1768286276.9568
MEM 1419.843750 1768286277.0599
MEM 1387.015625 1768286277.1645
MEM 1406.125000 1768286277.2696
MEM 1374.828125 1768286277.3749
MEM 1378.203125 1768286277.4756
MEM 1339.625000 1768286277.5766
MEM 1236.359375 1768286277.6822
MEM 1324.406250 1768286277.7874
MEM 1362.828125 1768286277.8925
MEM 1365.859375 1768286277.9976
MEM 1355.375000 1768286278.0999
MEM 1351.828125 1768286278.2038
MEM 1375.000000 1768286278.3092
MEM 1357.437500 1768286278.4134
MEM 1381.406250 1768286278.5148
MEM 1335.437500 1768286278.6199
MEM 1328.500000 1768286278.7250
MEM 1320.125000 1768286278.8255
MEM 1347.890625 1768286278.9261
MEM 1349.671875 1768286279.0295
MEM 1365.578125 1768286279.1345
MEM 1374.718750 1768286279.2397
MEM 1396.812500 1768286279.3400
MEM 1411.953125 1768286279.4452
MEM 1396.234375 1768286279.5503
MEM 1423.109375 1768286279.6554
MEM 1384.421875 1768286279.7606
MEM 1251.281250 1768286279.8659
MEM 1157.781250 1768286279.9710
MEM 1120.328125 1768286280.0735
MEM 1188.656250 1768286280.1786
MEM 1283.406250 1768286280.2805
MEM 1371.781250 1768286280.3856
MEM 1448.812500 1768286280.4874
MEM 1461.156250 1768286280.5926
MEM 1447.375000 1768286280.6935
MEM 1423.031250 1768286280.7987
MEM 1453.640625 1768286280.9038
MEM 1422.171875 1768286281.0066
MEM 1413.281250 1768286281.1081
MEM 1438.234375 1768286281.2132
MEM 1423.828125 1768286281.3183
MEM 1370.265625 1768286281.4214
MEM 1319.859375 1768286281.5232
MEM 1277.359375 1768286281.6283
MEM 1166.640625 1768286281.7335
MEM 1114.359375 1768286281.8366
MEM 1087.968750 1768286281.9416
MEM 1066.421875 1768286282.0467
MEM 1046.296875 1768286282.1519
MEM 1011.000000 1768286282.2565
MEM 942.093750 1768286282.3599
MEM 970.406250 1768286282.4645
MEM 1060.531250 1768286282.5686
MEM 875.687500 1768286282.6734
MEM 726.578125 1768286282.7754
MEM 627.359375 1768286282.8805
MEM 640.281250 1768286282.9828
MEM 719.515625 1768286283.0843
MEM 748.140625 1768286283.1895
MEM 679.484375 1768286283.2897
MEM 647.109375 1768286283.3941
MEM 718.703125 1768286283.4987
MEM 804.250000 1768286283.6040
MEM 891.062500 1768286283.7067
MEM 971.437500 1768286283.8119
MEM 1065.765625 1768286283.9171
MEM 1072.140625 1768286284.0173
MEM 985.359375 1768286284.1224
MEM 879.890625 1768286284.2275
MEM 778.765625 1768286284.3322
MEM 740.296875 1768286284.4333
MEM 733.343750 1768286284.5385
MEM 689.453125 1768286284.6436
MEM 700.671875 1768286284.7487
MEM 613.625000 1768286284.8492
MEM 516.093750 1768286284.9544
MEM 491.984375 1768286285.0564
MEM 465.937500 1768286285.1619
MEM 442.906250 1768286285.2656
MEM 443.046875 1768286285.3708
MEM 440.375000 1768286285.4760
MEM 383.687500 1768286285.5812
MEM 332.187500 1768286285.6865
MEM 332.328125 1768286285.7917
MEM 332.484375 1768286285.8931
MEM 312.125000 1768286285.9984
MEM 276.250000 1768286286.1003
MEM 270.796875 1768286286.2012
MEM 270.937500 1768286286.3064
MEM 271.093750 1768286286.4116
MEM 270.453125 1768286286.5167
MEM 240.859375 1768286286.6219
MEM 232.984375 1768286286.7270
MEM 266.343750 1768286286.8321
MEM 268.281250 1768286286.9374
MEM 201.015625 1768286287.0425
MEM 184.765625 1768286287.1453
MEM 183.281250 1768286287.2484
MEM 183.921875 1768286287.3535
MEM 276.687500 1768286287.4549
MEM 260.562500 1768286287.5559
MEM 252.328125 1768286287.6610
MEM 281.312500 1768286287.7648
MEM 360.843750 1768286287.8665
MEM 373.328125 1768286287.9716
MEM 336.109375 1768286288.0764
MEM 342.937500 1768286288.1812
MEM 334.625000 1768286288.2816
MEM 326.125000 1768286288.3867
MEM 407.625000 1768286288.4919
MEM 487.250000 1768286288.5970
MEM 450.343750 1768286288.7007
MEM 409.343750 1768286288.8058
MEM 408.312500 1768286288.9163
MEM 392.843750 1768286289.0173
MEM 477.953125 1768286289.1225
MEM 402.390625 1768286289.2252
MEM 369.046875 1768286289.3304
MEM 440.625000 1768286289.4355
MEM 521.015625 1768286289.5374
MEM 428.531250 1768286289.6426
MEM 426.218750 1768286289.7469
MEM 492.890625 1768286289.8522
MEM 405.546875 1768286289.9565
MEM 372.781250 1768286290.0617
MEM 314.515625 1768286290.1666
MEM 219.812500 1768286290.2671
MEM 172.734375 1768286290.3723
MEM 153.859375 1768286290.4733
MEM 143.046875 1768286290.5755
MEM 125.406250 1768286290.6807
MEM 103.546875 1768286290.7826
MEM 96.250000 1768286290.8878
MEM 96.406250 1768286290.9909
MEM 96.546875 1768286291.0960
MEM 96.703125 1768286291.1982
MEM 103.468750 1768286291.3034
MEM 199.093750 1768286291.4068
MEM 177.625000 1768286291.5120
MEM 166.609375 1768286291.6149
MEM 162.843750 1768286291.7200
MEM 163.000000 1768286291.8220
MEM 163.140625 1768286291.9239
MEM 143.375000 1768286292.0290
MEM 159.953125 1768286292.1342
MEM 183.968750 1768286292.2393
MEM 178.796875 1768286292.3413
MEM 198.203125 1768286292.4449
MEM 220.593750 1768286292.5501
MEM 193.859375 1768286292.6554
MEM 193.750000 1768286292.7565
MEM 256.578125 1768286292.8570
MEM 206.421875 1768286292.9574
MEM 183.046875 1768286293.0627
MEM 140.937500 1768286293.1655
MEM 78.000000 1768286293.2665
MEM 76.218750 1768286293.3712
MEM 76.375000 1768286293.4758
MEM 137.156250 1768286293.5810
MEM 232.484375 1768286293.6861
MEM 308.609375 1768286293.7912
MEM 216.250000 1768286293.8963
MEM 292.390625 1768286293.9978
MEM 364.390625 1768286294.0980
MEM 376.890625 1768286294.2467
MEM 443.593750 1768286294.3519
MEM 488.968750 1768286294.4570
MEM 552.734375 1768286294.5621
MEM 525.750000 1768286294.6639
MEM 569.750000 1768286294.7662
MEM 488.218750 1768286294.8667
MEM 304.500000 1768286294.9685
MEM 291.625000 1768286295.0733
MEM 254.500000 1768286295.1738
MEM 250.859375 1768286295.2777
MEM 251.015625 1768286295.3815
MEM 221.843750 1768286295.4853
MEM 222.000000 1768286295.5899
MEM 215.109375 1768286295.6931
MEM 209.062500 1768286295.7983
MEM 209.203125 1768286295.9015
MEM 209.359375 1768286296.0061
MEM 243.578125 1768286296.1112
MEM 321.015625 1768286296.2148
